date,temp_high,temp_low,precipitation
12/31/2021,43,33,0
12/30/2021,37,29,0
12/29/2021,36,28,0.01
12/28/2021,37,30,0.38
12/27/2021,46,32,0
12/26/2021,43,26,0.69
12/25/2021,55,32,0
12/24/2021,57,34,0.03
12/23/2021,46,27,0
12/22/2021,31,19,0
12/21/2021,40,23,0
12/20/2021,42,30,0
12/19/2021,37,28,0
12/18/2021,40,31,0.02
12/17/2021,40,26,0.04
12/16/2021,66,32,0
12/15/2021,66,50,0
12/14/2021,54,32,0.03
12/13/2021,49,33,0
12/12/2021,48,32,0
12/11/2021,58,32,0
12/10/2021,60,36,0.84
12/9/2021,46,28,0
12/8/2021,35,25,0
12/7/2021,26,13,0
12/6/2021,38,15,0
12/5/2021,41,34,0.26
12/4/2021,44,31,0
12/3/2021,51,37,0
12/2/2021,59,44,0
12/1/2021,49,34,0
11/30/2021,53,34,0
11/29/2021,41,27,0
11/28/2021,41,27,0
11/27/2021,42,30,0
11/26/2021,31,18,0
11/25/2021,48,23,0
11/24/2021,53,37,0.04
11/23/2021,43,24,0
11/22/2021,36,23,0
11/21/2021,55,30,0
11/20/2021,50,36,0
11/19/2021,40,26,0
11/18/2021,40,32,0
11/17/2021,61,40,0.13
11/16/2021,56,30,0
11/15/2021,36,30,0.01
11/14/2021,37,33,0.01
11/13/2021,39,33,0.03
11/12/2021,43,35,0.05
11/11/2021,57,41,0.44
11/10/2021,71,38,0
11/9/2021,58,42,0
11/8/2021,65,49,0
11/7/2021,65,41,0
11/6/2021,59,36,0
11/5/2021,52,34,0
11/4/2021,47,29,0
11/3/2021,45,29,0
11/2/2021,47,32,0
11/1/2021,49,35,0
10/31/2021,53,39,0
10/30/2021,59,45,0
10/29/2021,56,53,0.5
10/28/2021,57,48,0.51
10/27/2021,56,38,0
10/26/2021,57,41,0
10/25/2021,55,47,0.35
10/24/2021,51,39,2.26
10/23/2021,56,39,0
10/22/2021,56,41,0
10/21/2021,65,44,0
10/20/2021,72,53,0
10/19/2021,71,52,0
10/18/2021,72,45,0
10/17/2021,66,42,0
10/16/2021,59,44,0
10/15/2021,62,51,0.02
10/14/2021,71,57,0.1
10/13/2021,71,53,0.41
10/12/2021,65,56,0
10/11/2021,77,62,0.76
10/10/2021,79,70,0.02
10/9/2021,80,64,0
10/8/2021,75,62,0.02
10/7/2021,75,65,0.63
10/6/2021,68,64,0.03
10/5/2021,67,65,0
10/4/2021,73,64,0
10/3/2021,76,65,0.14
10/2/2021,80,66,0
10/1/2021,85,61,0.02
9/30/2021,80,59,0
9/29/2021,82,55,0
9/28/2021,73,60,0
9/27/2021,87,63,0
9/26/2021,83,54,0
9/25/2021,69,50,0
9/24/2021,79,52,0.12
9/23/2021,67,51,0
9/22/2021,63,56,0
9/21/2021,75,60,0.42
9/20/2021,82,70,0.23
9/19/2021,89,64,0
9/18/2021,77,66,0
9/17/2021,89,64,0.45
9/16/2021,82,57,0
9/15/2021,79,59,0
9/14/2021,86,66,0
9/13/2021,88,68,0
9/12/2021,87,68,0
9/11/2021,87,65,0
9/10/2021,80,59,0
9/9/2021,77,58,0
9/8/2021,79,59,0
9/7/2021,88,65,0
9/6/2021,82,61,0
9/5/2021,82,60,0
9/4/2021,73,63,0
9/3/2021,75,64,0.01
9/2/2021,78,62,0
9/1/2021,76,63,0
8/31/2021,82,66,0
8/30/2021,85,67,0
8/29/2021,89,73,0.28
8/28/2021,92,76,0
8/27/2021,91,73,0
8/26/2021,90,70,0
8/25/2021,94,71,0.39
8/24/2021,95,72,1.91
8/23/2021,87,67,0
8/22/2021,83,70,0
8/21/2021,88,73,0.6
8/20/2021,91,70,0
8/19/2021,88,72,0
8/18/2021,86,70,0
8/17/2021,84,66,0
8/16/2021,80,63,0
8/15/2021,80,60,0
8/14/2021,80,62,0
8/13/2021,84,72,0
8/12/2021,85,72,0
8/11/2021,88,72,0.09
8/10/2021,93,70,0.38
8/9/2021,83,70,0.64
8/8/2021,92,71,0.03
8/7/2021,89,67,0
8/6/2021,83,66,0.19
8/5/2021,87,66,0
8/4/2021,85,64,0
8/3/2021,83,62,0
8/2/2021,78,60,0
8/1/2021,76,62,0
7/31/2021,80,61,0
7/30/2021,73,65,0
7/29/2021,89,69,0
7/28/2021,88,70,0.17
7/27/2021,87,71,0.21
7/26/2021,94,70,0
7/25/2021,90,72,0
7/24/2021,92,75,0.12
7/23/2021,89,74,0
7/22/2021,86,64,0
7/21/2021,75,65,0
7/20/2021,88,67,0
7/19/2021,85,64,0
7/18/2021,82,63,0
7/17/2021,77,64,0
7/16/2021,73,65,0
7/15/2021,79,66,1.04
7/14/2021,84,69,0.12
7/13/2021,80,68,0
7/12/2021,74,67,0.04
